,Data,Perc.,Avg. d_1,Avg. d_2,Avg. P_11,Avg. P_22,Avg. mu_1,Avg. mu_2,Avg. Sigma
C,1930,0.037,0.892,NaN,0.999,NaN,0.781,NaN,0.056
D,1930,0.217,1.218,NaN,0.999,NaN,0.728,NaN,0.054
C - C,1930,0.037,0.923,-0.15,0.975,0.867,0.31,0.338,0.047
C - D,1930,0.376,1.355,0.014,0.972,0.899,0.351,0.376,0.049
D - D,1930,0.333,1.613,1.227,0.887,0.967,0.169,0.183,0.049
C,1940,0.03,0.92,NaN,0.999,NaN,0.752,NaN,0.056
D,1940,0.295,1.25,NaN,0.999,NaN,0.544,NaN,0.048
C - C,1940,0.029,0.93,-0.76,0.978,0.845,0.459,0.391,0.043
C - D,1940,0.371,1.382,-0.484,0.978,0.893,0.342,0.386,0.042
D - D,1940,0.275,1.734,1.255,0.892,0.96,0.154,0.118,0.045
C,1950,0.051,0.911,NaN,0.995,NaN,0.824,NaN,0.062
D,1950,0.586,1.276,NaN,0.997,NaN,0.702,NaN,0.055
C - C,1950,0.006,0.908,0.337,0.958,0.909,0.408,0.372,0.058
C - D,1950,0.203,1.336,-0.01,0.977,0.911,0.367,0.48,0.055
D - D,1950,0.154,1.539,1.227,0.917,0.953,0.146,0.405,0.054
C,Europe+G7,0.037,0.918,NaN,0.999,NaN,0.927,NaN,0.038
D,Europe+G7,0.617,1.281,NaN,0.999,NaN,0.194,NaN,0.033
C - C,Europe+G7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C - D,Europe+G7,0.213,1.386,-0.356,0.98,0.916,0.249,0.18,0.028
D - D,Europe+G7,0.133,1.614,1.248,0.91,0.952,0.122,0.18,0.031
C,Europe,0.074,0.886,NaN,0.923,NaN,0.573,NaN,0.036
D,Europe,0.68,1.322,NaN,0.97,NaN,0.142,NaN,0.034
C - C,Europe,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C - D,Europe,0.152,1.338,0.038,0.989,0.884,0.286,0.182,0.028
D - D,Europe,0.095,1.557,1.243,0.906,0.949,-0.129,-0.06,0.029
C,Europe+S&P,0.021,0.931,NaN,0.999,NaN,1.029,NaN,0.046
D,Europe+S&P,0.656,1.306,NaN,0.999,NaN,0.582,NaN,0.04
C - C,Europe+S&P,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C - D,Europe+S&P,0.173,1.39,-0.169,0.981,0.906,0.285,0.239,0.035
D - D,Europe+S&P,0.15,1.528,1.242,0.932,0.957,0.102,0.218,0.035
C,G7+S&P,0.031,0.942,NaN,0.999,NaN,0.873,NaN,0.045
D,G7+S&P,0.698,1.321,NaN,0.999,NaN,0.511,NaN,0.041
C - C,G7+S&P,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C - D,G7+S&P,0.135,1.339,-0.228,0.983,0.904,0.378,0.305,0.036
D - D,G7+S&P,0.135,1.53,1.276,0.904,0.956,0.289,0.379,0.035
